trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
152,2,1,385,0,0,1,0,1,1
153,2,1,327,0,0,0,0,0,1
154,2,1,459,1,1,0,0,0,0
155,2,1,526,1,1,1,1,1,0
156,2,1,643,0,1,0,1,1,1
157,2,1,438,0,1,0,0,1,0
158,2,1,379,1,1,0,0,1,0
159,2,1,389,1,0,1,1,1,0
160,2,1,371,1,1,1,1,0,1
1,3,0,0,1,1,1,1,1,1
2,3,1,482,1,1,0,1,1,1
3,3,1,392,0,0,0,1,1,0
4,3,1,521,0,1,0,0,0,0
5,3,1,536,1,1,0,0,1,0
6,3,1,491,0,1,0,1,1,0
7,3,1,477,1,0,1,0,1,0
8,3,1,428,0,1,0,1,0,1
9,3,1,471,1,1,1,0,1,0
10,3,1,490,0,1,0,1,1,1
11,3,1,461,1,0,1,0,1,0
12,3,1,511,0,0,0,1,0,1
13,3,1,349,1,1,1,0,0,0
14,3,1,428,0,1,0,1,1,1
15,3,1,481,1,0,1,0,1,0
16,3,1,414,0,1,1,1,0,1
17,3,1,427,1,0,1,0,1,1
18,3,1,362,0,1,0,1,0,1
19,3,1,457,1,1,0,0,1,0
20,3,1,472,1,1,1,1,1,0
21,3,0,341,1,0,1,1,1,1
22,3,1,318,1,1,1,1,0,1
23,3,1,322,0,1,1,1,1,1
24,3,1,425,1,0,1,0,1,1
25,3,1,464,1,0,1,1,0,1
26,3,1,557,0,0,1,1,0,1
27,3,0,346,1,0,1,0,0,1
28,3,1,427,1,0,0,1,0,1
29,3,1,534,0,1,0,1,0,0
30,3,1,322,0,0,0,0,1,0
31,3,1,407,1,0,0,0,0,0
32,3,1,368,0,0,0,1,0,0
33,3,1,356,1,1,1,0,0,0
34,3,1,492,0,1,0,1,1,1
35,3,1,671,1,1,0,0,1,0
36,3,1,386,1,1,1,1,1,0
37,3,1,429,0,0,1,1,1,1
38,3,1,445,0,1,1,0,0,1
39,3,1,425,1,1,0,0,1,1
